MW,AMW,Sv,Se,Sp,H%,C%,N%,O%,D/Dtr06,ZM1Kup,CENT,Psi_e_1,X2v,VE1_A,VE1_Dz(Z),Chi_Dz(p),SpMAD_Dz(p),ATSC2m,ATSC3m,ATSC3s,Eta_F,Eta_B,SpMax_EA(ed),SM08_EA,SsOH,SdO,SsCl,AMR,MLOGP2
88.17,4.898,8.876,17.629,10.023,66.7,27.8,0,5.6,0,67.736,20,0.711,2.316,2.285,2.193,0.411,5.117,6.926,7.771,12.703,1.134,0.353,9.823,0.469,0,0,0,26.816,1.463
118.15,6.564,9.778,18.4,10.171,55.6,27.8,0,16.7,0,169.207,40,0.968,1.319,2.604,2.57,0.266,8.153,8.178,6.969,21.762,3.914,0.106,5.887,7.209,0,10.268,0,28.566,0.026
31.07,4.439,3.075,6.869,3.529,71.4,14.3,14.3,0,0,11.312,0,0.12,0,1.414,1.413,0.791,1.628,1.368,0.489,1.959,0.404,-99,0,0,0,0,0,9.919,0.663
98.21,4.677,10.688,20.185,12.33,66.7,33.3,0,0,18.267,30,14,1.008,2.743,2.594,2.336,0.607,3.477,8.575,9.973,3.633,0,0.106,6.124,0,0,0,0,32.155,12.092
101.17,5.621,9.37,17.847,10.267,61.1,27.8,5.6,5.6,0,95.381,33,0.837,1.327,2.449,1.931,0.358,5.603,7.09,7.471,8.852,2.739,0.068,6.464,1.993,0,9.893,0,29.163,0.348
208.25,9.466,15.439,22.593,16.057,36.4,45.5,0,13.6,57.04,258.481,152,2.653,4.342,3.474,3.361,0.613,4.091,6.072,9.68,38.66,13.281,0.498,12.427,9.279,8.959,22.005,0,53.131,3.905
123.12,8.794,9.505,14.524,9.438,35.7,42.9,7.1,14.3,26.648,185.116,50,1.293,1.593,2.856,2.66,0.496,4.98,3.079,5.069,20.222,7.193,0.195,8.139,7.794,0,20.013,0,33.383,3.562
99.15,6.197,8.843,15.964,9.506,56.3,31.3,6.3,6.3,0,105.381,17,1.017,1.919,2.309,2.138,0.514,4.449,7.341,8.319,15.687,2.735,0.195,8,5.382,0,10.5,0,27.154,0.039
109.14,7.276,9.317,15.08,9.744,46.7,40,6.7,6.7,22.133,111.462,24,1.138,1.559,2.722,2.564,0.648,3.921,4.481,6.255,20.099,5.607,0.195,7.95,0,8.794,0,0,32.453,1.972
140.57,10.041,10.123,14.302,10.597,35.7,50,0,7.1,26.324,151.939,46,1.271,2.047,2.833,2.472,0.676,3.468,2.473,5.981,12.343,6.161,0.157,8.475,0,0,10.143,5.593,37.454,5.618
