new_datetime,air_conc_mole,aerosol_conc_mole,fw_conc_mole,fwSusSed_conc_mole,sw_conc_mole,swSusSed_conc_mole,urban_conc_mole,urban_air_conc_mole,urban_water_conc_mole,urban_solid_conc_mole,natural_conc_mole,natural_air_conc_mole,natural_water_conc_mole,natural_solid_conc_mole,agricultural_conc_mole,agricultural_air_conc_mole,agricultural_water_conc_mole,agricultural_solid_conc_mole,fw_sed_conc_mole,fw_sed_water_conc_mole,fw_sed_solid_conc_mole,sw_sed_conc_mole,sw_sed_water_conc_mole,sw_sed_solid_conc_mole,deep_urban_conc_mole,deep_natural_conc_mole,deep_agricultural_conc_mole 
2008-09-30 00:00:00,2.00515332382874e-12,0.0004833066267284097,1.9165524564264148e-08,4.258660712965329e-05,2.5761159914688145e-08,5.768579884907107e-05,1.995304811640613e-08,5.134269220579458e-14,6.614220021683344e-12,3.84328514267941e-08,2.1351587031421622e-08,3.608484939045195e-14,4.648629105016399e-12,5.140900332721214e-08,1.959419581733069e-08,2.2077868923623608e-14,2.8441804743197893e-12,3.145367809828357e-08,1.1294670469356538e-06,5.801421314495536e-10,5.437092055945216e-06,3.0979706192545715e-07,9.94689741370354e-11,1.4915571609796733e-06,2.1474740330140746e-13,1.5092951639663657e-13,9.234352189349977e-14
2008-10-01 00:00:00,2.0050877143696546e-12,0.00048330535199582356,1.916479507843065e-08,4.258626730289585e-05,2.5760471786716795e-08,5.768599332161382e-05,1.9952395244289833e-08,5.1342556788237275e-14,6.614202576522595e-12,3.8432750059245253e-08,2.135088839852453e-08,3.608475421581365e-14,4.648616844147887e-12,5.140886773475772e-08,1.959355468701237e-08,2.2077810692725467e-14,2.844172972726947e-12,3.14535951384684e-08,1.1294240567108162e-06,5.801375021110672e-10,5.437048669784922e-06,3.097887866760328e-07,9.946930947059602e-11,1.4915621893734816e-06,2.1474683690008442e-13,1.5092911831648995e-13,9.234327833529054e-14
2008-10-02 00:00:00,1.1244707807567915e-12,0.0002713722690710476,2.013162528425003e-08,4.4789199106420046e-05,2.648728122806338e-08,5.9385854262494986e-05,1.0473412870237496e-07,2.698359063809623e-13,3.476159854259852e-11,2.019871349555647e-07,1.1207510006003314e-07,1.8964700960488774e-13,2.4431267510344014e-11,2.7018441014619403e-07,1.0285050256880153e-07,1.1603212679396073e-13,1.4947833532432082e-11,1.653074931218251e-07,1.186401514008862e-06,6.101472548965772e-10,5.7183000728907214e-06,3.1852920947743284e-07,1.0240041950700988e-10,1.5355147705915146e-06,1.128623329305147e-12,7.932229711150655e-13,4.853192705335093e-13
2008-10-03 00:00:00,1.6810493300656034e-13,4.0975954244453915e-05,2.099368967262366e-08,4.7175287857263926e-05,2.7042495323695137e-08,6.123838317139492e-05,1.9496047256605776e-07,5.073286767381265e-13,6.535659403689624e-11,3.7976363957455073e-07,2.0862554299453276e-07,3.565625039328662e-13,4.5934148584209627e-11,5.079839118268308e-07,1.9145414043068644e-07,2.181563830218401e-13,2.810398626268812e-11,3.108008599196173e-07,1.2372048883563742e-06,6.426520893279283e-10,6.022935381181343e-06,3.2520607092838996e-07,1.0559477849663924e-10,1.5834148225128045e-06,2.1219673388602684e-12,1.4913684605262875e-12,9.124670864509136e-13
2008-10-04 00:00:00,5.2309881716026983e-14,1.2751267614615327e-05,2.0990581032419042e-08,4.7170583684343206e-05,2.7209958826436213e-08,6.162058846539623e-05,2.0567000901976445e-07,5.352230566989979e-13,6.89500862848313e-11,4.0064412937009216e-07,2.2008572683829754e-07,3.7616732901086386e-13,4.845973929598491e-11,5.359143184847253e-07,2.019710676270994e-07,2.301512441797511e-13,2.964922371361814e-11,3.2788957907995447e-07,1.2370216892657295e-06,6.425880060611718e-10,6.022334792805303e-06,3.272199438013791e-07,1.0625382403752739e-10,1.5932973422075309e-06,2.2386391650919258e-12,1.5733681589605494e-12,9.62637133559031e-13
2008-10-05 00:00:00,8.475971143985161e-13,0.00020653992149824313,2.020674260002418e-08,4.539290894422337e-05,2.647843613298449e-08,5.99425485467835e-05,1.2931128047774643e-07,3.363916249249651e-13,4.3335636000291126e-11,2.518077799687316e-07,1.383749010756395e-07,2.364239310430391e-13,3.045730231757237e-11,3.3682608803794e-07,1.2698563829891187e-07,1.4465174853569397e-13,1.8634755020273576e-11,2.0608101037900462e-07,1.1908283447244353e-06,6.183713782932592e-10,5.795376557364424e-06,3.1842284064633346e-07,1.0336034050092747e-10,1.5499089778795076e-06,1.4070011688406207e-12,9.888734518692327e-13,6.050245136452462e-13
2008-10-06 00:00:00,1.99739662311022e-12,0.00048329019000516843,1.9090038839872054e-08,4.258215611692098e-05,2.5663511958165358e-08,5.768834641764379e-05,1.987586208737685e-08,5.134094609768105e-14,6.6139950793838976e-12,3.843154436807125e-08,2.1268990918446103e-08,3.6083622184678555e-14,4.6484710102876575e-12,5.140725496393079e-08,1.9518397966378864e-08,2.2077118079746887e-14,2.8440837468910314e-12,3.145260839351804e-08,1.1250185050797263e-06,5.800814968935822e-10,5.436523788886653e-06,3.086227727966305e-07,9.947336696919738e-11,1.4916230323765084e-06,2.1474009997999664e-13,1.5092438345089798e-13,9.234038139256597e-14
2008-10-07 00:00:00,1.876753612427594e-12,0.0004519947590062164,1.932600903635862e-08,4.290871257773395e-05,2.58949030963133e-08,5.793870220956724e-05,3.2519131748906755e-08,8.361020812947017e-14,1.077108131397596e-11,6.258687592624129e-08,3.479844621595137e-08,5.876321708575625e-14,7.570168806677181e-12,8.37181940262907e-08,3.193428049590761e-08,3.595322209362052e-14,4.631672224403033e-12,5.122147786278416e-08,1.1389247542980461e-06,5.845300588707752e-10,5.478215711736906e-06,3.1140542291763465e-07,9.99050613253255e-11,1.498096375585521e-06,3.4971043227194684e-13,2.457847015154929e-13,1.503789683247738e-13
2008-10-08 00:00:00,1.875927909483037e-12,0.00045193052512108113,1.9311849041129252e-08,4.289005042273732e-05,2.589193393377089e-08,5.794932157990042e-05,3.250482452037035e-08,8.359832611447306e-14,1.0769550613926635e-11,6.257798157930667e-08,3.4783136172418624e-08,5.875486612667707e-14,7.569092994748186e-12,8.370629666520041e-08,3.1920230580530764e-08,3.5948112708849583e-14,4.631014008138974e-12,5.121419867544859e-08,1.138090274242846e-06,5.842758310018069e-10,5.4758330881489346e-06,3.1136971653503926e-07,9.992337255432986e-11,1.4983709561266873e-06,3.496607342183976e-13,2.457497725567596e-13,1.5035759766685e-13
2008-10-09 00:00:00,1.982842466566855e-12,0.00048270993185031057,1.8903617836024764e-08,4.2424830826061756e-05,2.5546952868133645e-08,5.777839372830927e-05,1.9731035363977493e-08,5.1279304038174376e-14,6.606054043831407e-12,3.8385401869248525e-08,2.111401307390343e-08,3.604029869816368e-14,4.642889864079601e-12,5.134553329126173e-08,1.9376175927855538e-08,2.2050611380321863e-14,2.8406690225259166e-12,3.14148450933532e-08,1.114032300136774e-06,5.779383106732728e-10,5.416437847629912e-06,3.072210632559067e-07,9.962863765616713e-11,1.4939513473817573e-06,2.1448227415037066e-13,1.5074317740518213e-13,9.222951371837407e-14
